시점,실업률 (%),시장금리,소비자물가지수
2017.1,3.2,1.38,98.077
2017.11,3.1,1.45,97.347
2017.12,3.3,1.66,97.698
2018.01,3.7,1.66,98.106
2018.02,4.6,1.65,98.855
2018.03,4.5,1.65,98.751
2018.04,4.1,1.65,98.931
2018.05,4,1.65,98.979
2018.06,3.7,1.65,98.779
2018.07,3.7,1.65,98.59
2018.08,4,1.65,99.462
2018.09,3.6,1.65,100.221
2018.1,3.5,1.68,100.041
2018.11,3.2,1.71,99.33
2018.12,3.4,1.91,98.988
2019.01,4.5,1.87,98.884
2019.02,4.7,1.87,99.311
2019.03,4.3,1.9,99.121
2019.04,4.4,1.86,99.481
2019.05,4,1.84,99.652
2019.06,4,1.8,99.491
2019.07,3.9,1.68,99.187
2019.08,3,1.49,99.425
2019.09,3.1,1.54,99.794
2019.1,3,1.46,100.041
2019.11,3.1,1.52,99.481
2019.12,3.4,1.53,99.719
2020.01,4.1,1.47,100.09
2020.02,4.1,1.42,100.16
2020.03,4.2,1.23,99.94
2020.04,4.2,1.1,99.5
2020.05,4.5,1.02,99.44
2020.06,4.3,0.79,99.71
2020.07,4,0.79,99.63
2020.08,3.1,0.68,100.19
2020.09,3.6,0.63,100.74
2020.1,3.7,0.63,100.18
2020.11,3.4,0.66,100.09
2020.12,4.1,0.66,100.33
2021.01,5.7,0.68,101.04
2021.02,4.9,0.73,101.58
2021.03,4.3,0.75,101.84
2021.04,4,0.74,101.98
2021.05,4,0.68,102.05
2021.06,3.8,0.66,102.05
2021.07,3.2,0.69,102.26
2021.08,2.6,0.77,102.75
2021.09,2.7,0.98,103.17
2021.1,2.8,1.08,103.35
2021.11,2.6,1.17,103.87
2021.12,3.5,1.27,104.04
2022.01,4.1,1.39,104.85
2022.02,3.4,1.5,105.42
2022.03,3,1.5,106.1
2022.04,3,1.64,106.83
2022.05,3,1.77,107.5
2022.06,3,1.99,108.21
2022.07,2.9,2.41,108.73
2022.08,2.1,2.79,108.63
2022.09,2.4,3.01,108.82
2022.1,2.4,3.69,109.16
2022.11,2.3,3.99,109.07
2022.12,3,4.02,109.26
2023.01,3.6,3.8,110.07
2023.02,3.1,3.52,110.33
2023.03,2.9,3.61,110.52
2023.04,2.8,3.5,110.77
2023.05,2.7,3.64,111.13
2023.06,2.7,3.75,111.16
2023.07,2.7,3.75,111.29
2023.08,2,3.7,112.28
2023.09,2.3,3.76,112.83
2023.1,2.1,3.82,113.26
2023.11,2.3,3.83,112.67
2023.12,3.3,3.83,112.71
2024.01,3.7,3.74,113.15
