정류장ID,정류장명,정류장번호,위도,경도
JUB311101444,득룡교,31443,35.87545851,127.0051657
JUB311101464,득자마을,31463,35.87678825,126.9988914
JUB311101466,득자마을,31465,35.87693501,126.999075
JUB306101135,득정마을,31134,35.8509821,127.0346832
JUB306101137,득정마을,31136,35.8510131,127.0345557
JUB305032366,땟골마을,36300,35.8407133,127.0183363
JUB305032367,땟골마을,36301,35.8406049,127.0183037
JUB305100257,떡정거리,30257,35.77627977,127.1021092
JUB305100258,떡정거리,30258,35.77639583,127.1020071
JUB312032353,라복마을,32353,36.0181044,127.207626
JUB312032354,라복마을,32354,36.0178732,127.207468
JUB311100956,마교마을,30956,35.83607146,126.9644728
JUB311100957,마교마을,30957,35.83616606,126.964635
JUB312101752,마그내다리,31751,35.9250368,127.1653387
JUB312101756,마그내다리,31755,35.9251687,127.165439
JUB311101160,마다리,31159,35.84571051,126.9962989
JUB311101161,마다리,31160,35.84578316,126.9963644
JUB306100764,마당재,30764,35.82493459,127.1633817
JUB306132051,마당재,32051,35.82516776,127.1631299
JUB305032337,마당재사거리,36231,35.8238429,127.1614752
JUB305100328,마동,30328,35.79071324,127.0664723
JUB311100329,마동,30329,35.7905418,127.0663185
JUB311100332,마산,30332,35.79121792,127.0586711
JUB311100334,마산,30334,35.79146435,127.058511
JUB312101385,마수마을,31384,35.86950082,127.2484625
JUB312101388,마수마을,31387,35.86960469,127.248611
JUB316100011,마암리,30011,35.61501936,127.1025658
JUB316100012,마암리,30012,35.61587158,127.1027437
JUB316100003,마암분교,30003,35.59366113,127.1247933
JUB316032253,마암초교,32253,35.60420968,127.105411
JUB316132254,마암초교,32254,35.60433766,127.1056523
JUB312101256,마월리,31255,35.85908985,127.1970198
JUB312101258,마월리,31257,35.85917531,127.1972188
JUB312100068,마음마을,30068,35.70631315,127.1202325
JUB312100069,마음마을,30069,35.70649648,127.1200522
JUB305100773,마전교.본병원,30773,35.82531421,127.1150546
JUB305100779,마전교.본병원,30779,35.82548646,127.1149634
JUB305032522,마치교,36456,35.7802009,127.2234877
JUB305032523,마치교,36457,35.7801275,127.2229458
JUB312100256,마치마을,30256,35.77606635,127.2444392
JUB312100259,마치마을,30259,35.77620521,127.2443091
JUB312100273,마치삼거리,30273,35.77886217,127.2256383
JUB312100274,마치삼거리,30274,35.77898428,127.2256334
JUB312100240,마치신덕마을,30240,35.773491,127.2354507
JUB312100241,마치신덕마을,30241,35.77361691,127.2354601
JUB316100013,막은댐,30013,35.61870064,127.1036408
JUB316100014,막은댐,30014,35.61877348,127.103422
JUB306101606,만경강변.원화전,31605,35.8946013,127.0656409
JUB306101607,만경강변.원화전,31606,35.8946515,127.0657957
JUB312032198,만동,32198,35.98063526,127.1203568
JUB312032199,만동,32199,35.98063754,127.1206672
JUB312101949,만동마을,31948,35.97922195,127.1182119
JUB312101950,만동마을,31949,35.97938165,127.1180694
JUB306032157,만성LH퍼스트리움,32157,35.8376198,127.0739395
JUB306032158,만성LH퍼스트리움,32158,35.8369466,127.0748123
JUB305032415,만성골드클래스정문,36349,35.8461031,127.0788275
JUB305032416,만성골드클래스정문,36350,35.8469706,127.0793877
JUB305032421,만성골드클래스후문,36355,35.8492752,127.0783678
JUB305032422,만성골드클래스후문,36356,35.8491651,127.0778368
JUB305032412,만성도시상가,36346,35.8420079,127.0782733
JUB305032413,만성도시상가,36347,35.8422609,127.0784492
JUB305032660,만성동로 TBN전북교통방송,36594,35.8473738,127.0807222
JUB305032661,만성동로 TBN전북교통방송,36595,35.8471839,127.0805571
JUB305032433,만성동로 만성시티프라디움,36367,35.8398432,127.0772661
JUB305032662,만성동로 만성중흥S클래스,36596,35.844298,127.0803397
JUB305032663,만성동로 만성중흥S클래스,36597,35.8441637,127.0806283
JUB305032434,만성동로 제일풍경채아파트,36368,35.839772,127.0775322
JUB305032410,만성시티프라디움,36344,35.839777,127.0746089
JUB305032411,만성시티프라디움,36345,35.8388133,127.0736286
JUB312032093,만성초등학교,32093,35.83692619,127.0646875
JUB305032577,만성초등학교정문,36511,35.8356996,127.0656964
JUB305032578,만성초등학교정문,36512,35.835844,127.0657399
JUB312032711,만수동마을,36045,36.0444836,127.2527895
JUB312032712,만수동마을,36046,36.0443395,127.2528454
JUB305100728,만절리고개,30728,35.82308766,127.0815692
JUB305100734,만절리고개,30734,35.82352817,127.081201
JUB312032267,망산마을,32267,35.71167618,127.121054
JUB312032268,망산마을,32268,35.7119607,127.1205204
JUB312100072,망산마을입구,30072,35.70889263,127.1198873
JUB312100073,망산마을입구,30073,35.70895595,127.1200532
JUB305100246,망월리,30246,35.77449441,127.0957418
JUB305100249,망월리,30249,35.77467522,127.0959759
JUB305100559,매곡교.시립도서관,30559,35.8113473,127.1457537
JUB312132233,매산교,32233,35.6816419,127.1029292
JUB312032234,매산교,32234,35.68157227,127.1032614
JUB312100046,매산마을,30046,35.68239766,127.1016175
JUB312100047,매산마을,30047,35.68232083,127.1021928
JUB305032561,매암노인회관,36495,35.8744628,127.0273543
JUB305032562,매암노인회관,36496,35.8745076,127.0272709
JUB305032451,매암마을,36385,35.8760376,127.0277171
JUB305032314,메가월드,36203,35.8698105,127.112454
JUB306032306,메가월드,36211,35.8699511,127.1124312
JUB306101311,면허시험장월드컵경기장,31310,35.8629971,127.0687456
JUB306101314,면허시험장월드컵경기장,31313,35.86418729,127.0696762
JUB312101979,명곡,31978,36.018054,127.1283243
JUB312101980,명곡,31979,36.01822566,127.128033
